Aristocratic	Italy	Michelangelo Buonarroti	Sonnets and Madrigals
Aristocratic	Italy	Niccolò Machiavelli	The Prince
Aristocratic	Italy	Niccolò Machiavelli	The Mandrake, a Comedy
Aristocratic	Italy	Leonardo da Vinci	Notebooks
Aristocratic	Italy	Baldassare Castiglione	The Book of the Courtier
Aristocratic	Italy	Gaspara Stampa	Sonnets
Aristocratic	Italy	Gaspara Stampa	Madrigals
Aristocratic	Italy	Giorgio Vasari	Lives of the Painters
Aristocratic	Italy	Benvenuto Cellini	Autobiography
Aristocratic	Italy	Torquato Tasso	Jerusalem Delivered
Aristocratic	Italy	Giordano Bruno	The Expulsion of the Triumphant Beast
Aristocratic	Italy	Tommaso Campanella	Poems
Aristocratic	Italy	Tommaso Campanella	The City of the Sun
Aristocratic	Italy	Giambattista Vico	Principles of a New Science
Aristocratic	Italy	Carlo Goldoni	The Servant of Two Masters
Aristocratic	Italy	Vittorio Alfieri	Saul
Aristocratic	Portugal	# <h3>Portugal</h3>
Aristocratic	Portugal	Luis de Camoëns	The Lusiads
Aristocratic	Portugal	Antònio Ferreira	Poetry
Aristocratic	Portugal	# <h3>Spain</h3>
Aristocratic	Portugal	Jorge Manrique	Coplas
Aristocratic	Portugal	Fernando de Rojas	La Celestina
Aristocratic	Portugal	Unknown	Lazarillo de Tormes
Aristocratic	Portugal	Francisco de Quevedo	Visions
Aristocratic	Portugal	Francisco de Quevedo	Satirical Letter of Censure
Aristocratic	Portugal	Fray Luis de León	Poems
Aristocratic	Portugal	St. John of the Cross	Poems
Aristocratic	Portugal	Luis de Góngora	Sonnets
Aristocratic	Portugal	Luis de Góngora	Soledades
Aristocratic	Portugal	Miguel de Cervantes	Don Quixote
Aristocratic	Portugal	Miguel de Cervantes	Exemplary Stories
Aristocratic	Portugal	Lope de Vega	La Dorotea
Aristocratic	Portugal	Lope de Vega	Fuente Ovejuna
Aristocratic	Portugal	Lope de Vega	Lost in a Mirror
Aristocratic	Portugal	Lope de Vega	The Knight of Olmedo
Aristocratic	Portugal	Tirso de Molina	The Trickster of Seville
Aristocratic	Portugal	Pedro Calderón de la Barca	Life is a Dream
Aristocratic	Portugal	Pedro Calderón de la Barca	The Mayor of Zalamea
Aristocratic	Portugal	Pedro Calderón de la Barca	The Mighty Magician
Aristocratic	Portugal	Pedro Calderón de la Barca	The Doctor of His Own Honor
Aristocratic	Portugal	Sor Juana Inés de la Cruz	Poems
Aristocratic	England;Scotland	# <h3>England and Scotland</h3>
Aristocratic	England;Scotland	Geoffrey Chaucer	The Canterbury Tales
Aristocratic	England;Scotland	Geoffrey Chaucer	Troilus and Criseyde
Aristocratic	England;Scotland	Sir Thomas Malory	Le Morte D'Arthur
Aristocratic	England;Scotland	William Dunbar	Poems
Aristocratic	England;Scotland	John Skelton	Poems
Aristocratic	England;Scotland	Sir Thomas More	Utopia
Aristocratic	England;Scotland	Sir Thomas Wyatt	Poems
Aristocratic	England;Scotland	Henry Howard, Earl of Surrey	Poems
Aristocratic	England;Scotland	Sir Philip Sidney	The Countess of Pembroke's Arcadia
Aristocratic	England;Scotland	Sir Philip Sidney	Astrophel and Stella
Aristocratic	England;Scotland	Sir Philip Sidney	An Apology for Poetry
Aristocratic	England;Scotland	Fulke Greville, Lord Brooke	Poems
Aristocratic	England;Scotland	Edmund Spenser	The Faerie Queene
Aristocratic	England;Scotland	Edmund Spenser	The Minor Poems
Aristocratic	England;Scotland	Sir Walter Ralegh	Poems
Aristocratic	England;Scotland	Christopher Marlowe	Poems
Aristocratic	England;Scotland	Christopher Marlowe	Plays
Aristocratic	England;Scotland	Michael Drayton	Poems
Aristocratic	England;Scotland	Samuel Daniel	Poems
Aristocratic	England;Scotland	Samuel Daniel	A Defence of Ryme
Aristocratic	England;Scotland	Thomas Nashe	The Unfortunate Traveller
Aristocratic	England;Scotland	Thomas Kyd	The Spanish Tragedy
Aristocratic	England;Scotland	William Shakespeare	Plays
Aristocratic	England;Scotland	William Shakespeare	Poems
Aristocratic	England;Scotland	Thomas Campion	Songs
Aristocratic	England;Scotland	John Donne	Poems
Aristocratic	England;Scotland	John Donne	Sermons
Aristocratic	England;Scotland	Ben Jonson	Poems</cite>, <cite>Plays</cite>, and <cite>Masques
Aristocratic	England;Scotland	Francis Bacon	Essays
Aristocratic	England;Scotland	Robert Burton	The Anatomy of Melancholy
Aristocratic	England;Scotland	Sir Thomas Browne	Religio Medici
Aristocratic	England;Scotland	Sir Thomas Browne	Hydriotaphia, or Urne-Buriall
Aristocratic	England;Scotland	Sir Thomas Browne	The Garden of Cyrus
Aristocratic	England;Scotland	Thomas Hobbes	Leviathan
Aristocratic	England;Scotland	Robert Herrick	Poems
Aristocratic	England;Scotland	Thomas Carew	Poems
Aristocratic	England;Scotland	Richard Lovelace	Poems
Aristocratic	England;Scotland	Andrew Marvell	Poems
Aristocratic	England;Scotland	George Herbert	The Temple
Aristocratic	England;Scotland	Thomas Traherne	Centuries
Aristocratic	England;Scotland	Thomas Traherne	Poems
Aristocratic	England;Scotland	Thomas Traherne	Thanksgivings
Aristocratic	England;Scotland	Henry Vaughan	Poetry
Aristocratic	England;Scotland	John Wilmot, Earl of Rochester	Poems
Aristocratic	England;Scotland	Richard Crashaw	Poems
Aristocratic	England;Scotland	Francis Beaumont and John Fletcher	Plays
Aristocratic	England;Scotland	George Chapman	Comedies, Tragedies, Poems
Aristocratic	England;Scotland	John Ford	'Tis Pity She's a Whore
Aristocratic	England;Scotland	John Marston	The Malcontent
Aristocratic	England;Scotland	John Webster	The White Devil
Aristocratic	England;Scotland	John Webster	The Duchess of Malfi
Aristocratic	England;Scotland	Thomas Middleton and William Rowley	The Changeling
Aristocratic	England;Scotland	Cyril Tourneur	The Revenger's Tragedy
Aristocratic	England;Scotland	Philip Massinger	A New Way to Pay Old Debts
Aristocratic	England;Scotland	John Bunyan	The Pilgrim's Progress
Aristocratic	England;Scotland	Izaak Walton	The Compleat Angler
Aristocratic	England;Scotland	John Milton	Paradise Lost
Aristocratic	England;Scotland	John Milton	Paradise Regained
Aristocratic	England;Scotland	John Milton	Lycidas
Aristocratic	England;Scotland	John Milton	Comus
Aristocratic	England;Scotland	John Milton	Minor Poems
Aristocratic	England;Scotland	John Milton	Samson Agonistes
Aristocratic	England;Scotland	John Milton	Areopagitica
Aristocratic	England;Scotland	John Aubrey	Brief Lives
Aristocratic	England;Scotland	Jeremy Taylor	Holy Dying
Aristocratic	England;Scotland	Samuel Butler	Hudibras
Aristocratic	England;Scotland	John Dryden	Poetry and Plays
Aristocratic	England;Scotland	John Dryden	Critical Essays
Aristocratic	England;Scotland	Thomas Otway	Venice Preserv'd
Aristocratic	England;Scotland	William Congreve	The Way of the World
Aristocratic	England;Scotland	William Congreve	Love for Love
Aristocratic	England;Scotland	Jonathan Swift	A Tale of a Tub
Aristocratic	England;Scotland	Jonathan Swift	Gulliver's Travels
Aristocratic	England;Scotland	Jonathan Swift	Shorter Prose Works
Aristocratic	England;Scotland	Jonathan Swift	Poems
#Sir George Etherege
Aristocratic	England;Scotland	George Etherege	The Man of Mode
Aristocratic	England;Scotland	Alexander Pope	Poems
Aristocratic	England;Scotland	John Gay	The Beggar's Opera
Aristocratic	England;Scotland	James Boswell	Life of Johnson
Aristocratic	England;Scotland	James Boswell	Journals
Aristocratic	England;Scotland	Samuel Johnson	Works
Aristocratic	England;Scotland	Edward Gibbon	The History of the Decline and Fall of the Roman Empire
Aristocratic	England;Scotland	Edmund Burke	A Philosophical Enquiry into...the Sublime and Beautiful
Aristocratic	England;Scotland	Edmund Burke	Reflections on the Revolution in France
Aristocratic	England;Scotland	Maurice Morgann	An Essay on the Dramatic Character of Sir John Falstaff
Aristocratic	England;Scotland	William Collins	Poems
Aristocratic	England;Scotland	George Farquhar	The Beaux' Strategem
Aristocratic	England;Scotland	George Farquhar	The Recruiting Officer
Aristocratic	England;Scotland	William Wycherley	The Country Wife
Aristocratic	England;Scotland	William Wycherley	The Plain Dealer
Aristocratic	England;Scotland	Christopher Smart	Jubilate Agno
Aristocratic	England;Scotland	Christopher Smart	A Song to David
Aristocratic	England;Scotland	Oliver Goldsmith	The Vicar of Wakefield
Aristocratic	England;Scotland	Oliver Goldsmith	She Stoops to Conquer
Aristocratic	England;Scotland	Oliver Goldsmith	The Traveller
Aristocratic	England;Scotland	Oliver Goldsmith	The Deserted Village
Aristocratic	England;Scotland	Richard Brinsley Sheridan	The School of Scandal
Aristocratic	England;Scotland	Richard Brinsley Sheridan	The Rivals
Aristocratic	England;Scotland	William Cowper	Poetical Works
Aristocratic	England;Scotland	George Crabbe	Poetical Works
Aristocratic	England;Scotland	Daniel Defoe	Moll Flanders
Aristocratic	England;Scotland	Daniel Defoe	Robinson Crusoe
Aristocratic	England;Scotland	Daniel Defoe	A Journal of the Plague Year
Aristocratic	England;Scotland	Samuel Richardson	Clarissa
Aristocratic	England;Scotland	Samuel Richardson	Pamela
Aristocratic	England;Scotland	Samuel Richardson	Sir Charles Grandison
Aristocratic	England;Scotland	Henry Fielding	Joseph Andrews
Aristocratic	England;Scotland	Henry Fielding	The History of Tom Jones, a Foundling
Aristocratic	England;Scotland	Tobias Smollett	The Expedition of Humphry Clinker
Aristocratic	England;Scotland	Tobias Smollett	The Adventures of Roderick Random
Aristocratic	England;Scotland	Laurence Sterne	The Life and Opinions of Tristram Shandy, Gentleman
